id,isPartOfCommunity,instanceOfs__taxonomyId,meta.organizationalLevel,review.status__id,review.log,review.reviewer__contactId,befideOrganizationCategories,topLevel__id,parent__id,meta.localId,label.fullName.de,label.fullName.en,label.short.de,label.short.en,description.de,description.en,head.contactsId,head.literal,links.homepage.de,links.homepage.en,location.country.code,location.city,location.lat,location.lng,links.rorId,uniquePeopleCount.professor.physicist.female,uniquePeopleCount.seniorResearcher.physicist.female,uniquePeopleCount.postDoc.physicist.female,uniquePeopleCount.phdStudent.physicist.female,uniquePeopleCount.masterStudent.physicist.female,uniquePeopleCount.bachelorStudent.physicist.female,uniquePeopleCount.professor.physicist.male,uniquePeopleCount.professor.physicist.nonbinary,uniquePeopleCount.professor.engineer.female,uniquePeopleCount.professor.other.female,uniquePeopleCount.professor.engineer.male,uniquePeopleCount.professor.other.male,uniquePeopleCount.professor.engineer.nonbinary,uniquePeopleCount.professor.other.nonbinary,uniquePeopleCount.seniorResearcher.other.female,uniquePeopleCount.seniorResearcher.engineer.nonbinary,uniquePeopleCount.seniorResearcher.engineer.male,uniquePeopleCount.seniorResearcher.engineer.female,uniquePeopleCount.seniorResearcher.physicist.nonbinary,uniquePeopleCount.seniorResearcher.physicist.male,uniquePeopleCount.seniorResearcher.other.nonbinary,uniquePeopleCount.seniorResearcher.other.male,uniquePeopleCount.postDoc.other.nonbinary,uniquePeopleCount.postDoc.other.male,uniquePeopleCount.postDoc.other.female,uniquePeopleCount.postDoc.engineer.nonbinary,uniquePeopleCount.postDoc.engineer.male,uniquePeopleCount.postDoc.engineer.female,uniquePeopleCount.postDoc.physicist.nonbinary,uniquePeopleCount.postDoc.physicist.male,uniquePeopleCount.phdStudent.other.nonbinary,uniquePeopleCount.phdStudent.other.male,uniquePeopleCount.phdStudent.other.female,uniquePeopleCount.phdStudent.engineer.nonbinary,uniquePeopleCount.phdStudent.engineer.male,uniquePeopleCount.phdStudent.engineer.female,uniquePeopleCount.phdStudent.physicist.nonbinary,uniquePeopleCount.phdStudent.physicist.male,uniquePeopleCount.masterStudent.other.nonbinary,uniquePeopleCount.masterStudent.other.male,uniquePeopleCount.masterStudent.other.female,uniquePeopleCount.masterStudent.engineer.nonbinary,uniquePeopleCount.masterStudent.engineer.male,uniquePeopleCount.masterStudent.engineer.female,uniquePeopleCount.masterStudent.physicist.nonbinary,uniquePeopleCount.masterStudent.physicist.male,uniquePeopleCount.bachelorStudent.other.nonbinary,uniquePeopleCount.bachelorStudent.other.male,uniquePeopleCount.bachelorStudent.other.female,uniquePeopleCount.bachelorStudent.engineer.male,uniquePeopleCount.bachelorStudent.engineer.nonbinary,uniquePeopleCount.bachelorStudent.engineer.female,uniquePeopleCount.bachelorStudent.physicist.nonbinary,uniquePeopleCount.bachelorStudent.physicist.male,facilities__facilitiesId,uniquePeopleCountSum.female,uniquePeopleCountSum.male,uniquePeopleCountSum.nonbinary,uniquePeopleCountSum.physicist,uniquePeopleCountSum.engineer,uniquePeopleCountSum.total,uniquePeopleCountSum.other,courses,uniquePeopleCountSum.professor,uniquePeopleCountSum.seniorResearcher,uniquePeopleCountSum.postDoc,uniquePeopleCountSum.phdStudent,uniquePeopleCountSum.masterStudent,uniquePeopleCountSum.bachelorStudent
hzdr/strahlenphysik/laser-teilenchen-beschleunigung,true,generic/organization/formal-organization/sub-department,03 working group cluster,01: preparation,,schramm.ullrich,hgf,hzdr,hzdr/strahlenphysik,laser-teilenchen-beschleunigung,Abteilung: Laser-Teilchenbeschleunigung ,Department of Laser Particle Acceleration ,,,,,schramm.ullrich,,https://www.hzdr.de/db/Cms?pNid=1483,https://www.hzdr.de/db/Cms?pNid=1483,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
hzdr/strahlenphysik/laser-teilenchen-beschleunigung/anwendung,true,generic/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,hzdr,hzdr/strahlenphysik/laser-teilenchen-beschleunigung,anwendung,Abteilung: Anwendungs­orien­tier­te Laser-Teilchenbeschleuni­gung,Department: Application-orientated laser particle acceleration,,,,,,Josefine Metzkes-Ng,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
hzdr/strahlenphysik/laser-teilenchen-beschleunigung/computergestuetzte-strahlenphysik,true,generic/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,hzdr,hzdr/strahlenphysik/laser-teilenchen-beschleunigung,computergestuetzte-strahlenphysik,Abteilung: Computergestützte Strahlenphysik,Department: Computer-aided radiation physics,,,,,,Michael Bussmann,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
hzdr/strahlenphysik/laser-teilenchen-beschleunigung/draco,true,generic/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,hzdr,hzdr/strahlenphysik/laser-teilenchen-beschleunigung,draco,Abteilung: Hochleis­tungs­laser DRACO,Department: High power laser DRACO,,,"Mit dem kontinuierlich weiterentwickelten Ultrakurzpuls-Hochleistungslaser DRACO steht ein für die Laserteilchenbeschleunigung maßgeschneidertes 150 Terawatt / Petawatt Zweistrahlsystem mit dedizierter Diagnostik zur Verfügung, das in zwei unabhängigen Messumgebungen eingesetzt werden kann.","The DRACO ultrashort pulse high-power laser, which is being continuously developed, is a 150 terawatt / petawatt dual-beam system with dedicated diagnostics that is customised for laser particle acceleration and can be used in two independent measurement environments.",schramm.ullrich,,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
hzdr/strahlenphysik/laser-teilenchen-beschleunigung/leb,true,generic/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,hzdr,hzdr/strahlenphysik/laser-teilenchen-beschleunigung,leb,Abteilung: Laser-Elek­tronen­ Beschleuni­gung,Department: Laser-electron acceleration,,,,,,Arie Irman,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
hzdr/strahlenphysik/laser-teilenchen-beschleunigung/lib,true,generic/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,hzdr,hzdr/strahlenphysik/laser-teilenchen-beschleunigung,lib,Abteilung: Laser-Ionenbeschleunigung,Department: Laser ion acceleration,,,,,,Karl Zeil,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
hzdr/strahlenphysik/laser-teilenchen-beschleunigung/penelope,true,generic/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,hzdr,hzdr/strahlenphysik/laser-teilenchen-beschleunigung,penelope,Abteilung: PEnELOPE,Department: Diodengepump­ter PW Laser PENELOPE,,,"Penelope steht für die Entwicklung eines energieeffizienten Hochleistungslasers, der mit Hilfe der Diodenlasertechnologie Petawatt Spitzenleistung mit hoher Pulsenergie und hoher Pulswiederholrate verbindet. Perspektivisch soll das System für die Laser-Ionenbeschleunigung optimiert werden.","Penelope stands for the development of an energy-efficient high-power laser that uses diode laser technology to combine petawatt peak power with high pulse energy and a high pulse repetition rate. petawatt peak power with high pulse energy and a high pulse repetition rate. In the future, the system will be be optimised for laser ion acceleration.",,PEnELOPE Team,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
hzg,true,generic/organization/research-institution,01 formal-organisation,01: preparation,,,hgf,,community,hzg,Helmholtz-Zentrum Hereon,Helmholtz-Zentrum Hereon,HZG,HZG,,,,,https://www.hereon.de/,https://www.hereon.de/,DE,Geesthacht,53.435750,10.377900,https://ror.org/03qjp1d79,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
ket,false,generic/organization/committee/erum-committee,other,01: preparation,,,committee,,,ket,Komitee für Elementarteilchenphysik,Komitee Für Elementarteilchenphysik,KET,KET,,,,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0
kfb,false,generic/organization/committee/erum-committee,other,01: preparation,,,committee,,,kfb,Komittee für Beschleunigerphysik,Committee for Accelerator Physics,KfB,KfB,,,,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0
kfn,false,generic/organization/committee/erum-committee,other,01: preparation,,,committee,,,kfn,Kommitee Forschung mit Neutronen,Kommitee Forschung Mit Neutronen,KFN,KFN,,,,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0
kfs,false,generic/organization/committee/erum-committee,other,01: preparation,,,committee,,,kfs,Kommitee Forschung mit Synchrotronstrahlung,Kommitee Forschung Mit Synchrotronstrahlung,KFS,KFS,,,,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0
kfsi,false,generic/organization/committee/erum-committee,other,01: preparation,,,committee,,,kfsi,Komitee Forschung mit nuklearen Sonden und Ionenstrahlen,Komitee Forschung Mit Nuklearen Sonden Und Ionenstrahlen,KFSI,KFSI,,,,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0
khuk,false,generic/organization/committee/erum-committee,other,01: preparation,,,committee,,,khuk,Komitee Hadronen- und Kernphysik,Komitee Hadronen- Und Kernphysik,KHuK,KHuK,,,,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0
kit,true,"generic/organization/research-institution, generic/organization/university",01 formal-organisation,02: prereview request,,härer.bastian,"university, hgf",,community,kit,Karlsruher Institut für Technologie,Karlsruhe Institute of Technology,KIT,KIT,,,,,http://www.kit.edu/english/,http://www.kit.edu/english/,DE,Karlsruhe,49.009370,8.404440,https://ror.org/04t3en479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"kit-atp/flute, kit-atp/cstart, kit-atp/kara, kit-atp, kit-atp/mcf/lasmaglab, kit-atp/kara/01-microtron, kit-atp/kara/02-booster-synchrotron, kit-atp/kara/03-storage-ring, kit-atp/mcf, kit-atp/mcf/casper-1, kit-atp/mcf/casper-2, anka",0,0,0,0,0,0,0,":kit/accelerators_and_synchrotron_radiation_for_materials_research_with_tutorials_and_a_practical_training, :kit/advanced_seminar_accelerators_and_detectors_-_future_technologies_for_research_and_medicine, :kit/advanced_seminar_modern_accelerators_and_research_with_photons, :kit/beschleunigerphysik, :kit/praktische_übungen_an_kara_zur_beschleunigerphysik, :kit/beschleunigerphysik_tutorium",0,0,0,0,0,0
kit/division-5,true,generic/organization/formal-organization/department,02 intermediate level,02: prereview request,,härer.bastian,"university, hgf",kit,kit,division-5,Bereich V: Mathematik und Physik,Division V: Physics and Mathematics,Bereich V,Bereich V,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
kit/division-5/ibpt,true,generic/organization/formal-organization/sub-department,03 working group cluster,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5,ibpt,Institut für Strahlenphysik und -technologie,Institute for Beam Physics and Technology,IBPT,IBPT,,,müller.anke-susanne,,https://www.ibpt.kit.edu/index.php,https://www.ibpt.kit.edu/index.php,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,1,0,,1,0,0,0,0,0
kit/division-5/ibpt/ardop1,true,generic/organization/formal-organization/sub-department,03 working group cluster,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt,ardop1,Abteilung: Beschleuniger-Forschung und -Entwicklung + Betrieb I,Department: Accelerator Research and Development + Operations I,ARD+Op1,ARD+Op1,,,fuchs.matthias,,https://www.ibpt.kit.edu/d1.php,https://www.ibpt.kit.edu/d1.php,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,,1,0,0,0,0,0
kit/division-5/ibpt/ardop1/accelerators,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop1,accelerators,Gruppe: Bechleuniger,Group: Accelerators,Accs,Accs,,,,,https://www.ibpt.kit.edu/d1.php,https://www.ibpt.kit.edu/d1.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,,0,1,0,0,0,0
kit/division-5/ibpt/ardop1/accelerators/bdt,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop1/accelerators,bdt,Team: Strahldynamik & Theorie,Team: Beam Dynamics & Theory ,BDT,BDT,,,,,https://www.ibpt.kit.edu/d1.php,https://www.ibpt.kit.edu/d1.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,0,4,0,4,0,,0,2,0,2,0,0
kit/division-5/ibpt/ardop1/accelerators/ci,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop1/accelerators,ci,Team: Steuerung & Instrumente,Team: Controls & Instrumentation,CI,CI,,,,,https://www.ibpt.kit.edu/d1.php,https://www.ibpt.kit.edu/d1.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,,0,1,0,0,0,0
kit/division-5/ibpt/ardop1/accelerators/facilities,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop1/accelerators,facilities,Team: Anlagen,Team: Facilities,Facs,Facs,,,,,https://www.ibpt.kit.edu/d1.php,https://www.ibpt.kit.edu/d1.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,5,0,5,0,,0,4,1,0,0,0
kit/division-5/ibpt/ardop1/thzir,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop1,thzir,Gruppe: THz/IR-Anwendungen,Applications THz/IR ,ThZIR,ThZIR,,,,,https://www.ibpt.kit.edu/d1.php,https://www.ibpt.kit.edu/d1.php,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,1,0,,0,1,0,0,0,0
kit/division-5/ibpt/ardop2,true,generic/organization/formal-organization/sub-department,03 working group cluster,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt,ardop2,Abteilung: Beschleuniger-Forschung und -Entwicklung + Betrieb II,Department: Accelerator Research and Development + Operations II,ARD+Op2,ARD+Op2,,,bründermann.erik,,https://www.ibpt.kit.edu/d2.php,https://www.ibpt.kit.edu/d2.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,,0,1,0,0,0,0
kit/division-5/ibpt/ardop2/aac,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop2,aac,Gruppe: Neue Beschleunigerkonzepte,Group: New Accelerator Concepts ,AAC,AAC,,,,,https://www.ibpt.kit.edu/d2_AAC.php,https://www.ibpt.kit.edu/d2_AAC.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,,0,1,0,0,0,0
kit/division-5/ibpt/ardop2/aac/team-aac,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop2/aac,team-aac,Team: AAC,Team: NAC,AAC,AAC,Advanced Accelerator Concepts ,,,,https://www.ibpt.kit.edu/d2_AAC.php,https://www.ibpt.kit.edu/d2_AAC.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,,0,0,1,0,0,0
kit/division-5/ibpt/ardop2/drd,true,generic/organization/formal-organization/sub-department,03 working group cluster,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop2,drd,Gruppe: Diagnose R&D,Group: Diagnosis R&D,DRD,DRD,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
kit/division-5/ibpt/ardop2/drd/ai,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop2/drd,ai,Team: AI4Accelerators,Team: AI4Accelerators,AI,AI,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
kit/division-5/ibpt/ardop2/drd/funkner,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop2/drd,funkner,Team: Funker,Team: Funker,,,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,2,0,,0,1,0,1,0,0
kit/division-5/ibpt/ardop2/drd/gethmann,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop2/drd,gethmann,Team: Gethmann,Team: Gethmann,GTHMNN,GTHMNN,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,,0,0,1,0,0,0
kit/division-5/ibpt/ardop2/drd/nasse,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop2/drd,nasse,Team: Nasse,Team: Nasse,NSS,NSS,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,,0,1,0,0,0,0
kit/division-5/ibpt/ardop2/drd/niehues,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop2/drd,niehues,Team: Niehues,Team: Niehues,NHS,NHS,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,2,0,,0,1,1,0,0,0
kit/division-5/ibpt/ardop2/drd/steinmann,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop2/drd,steinmann,Team: Steinmann,Team: Steinmann,STMNN,STMNN,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,2,0,,0,1,0,1,0,0
kit/division-5/ibpt/ardop2/id,true,generic/organization/working-group,05 working group,01: preparation,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop2,id,Gruppe: Insertion Devices,Group: Insertion Devices,ID,ID,,,,Prof. Dr.-Ing. Steffen Grohmann,https://www.ibpt.kit.edu/d2_ID.php,https://www.ibpt.kit.edu/d2_ID.php,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,1,1,0,,1,0,0,0,0,0
kit/division-5/ibpt/ardop2/id/grau,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop2/id,grau,Team: Grau,Team: Grau,FNKR,FNKR,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,,0,1,0,0,0,0
kit/division-5/ibpt/ardop2/id/saez-de-jauregui,true,generic/organization/working-group,05 working group,02: prereview request,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt/ardop2/id,saez-de-jauregui,Team: Saez de Jauregui,Team: Saez de Jauregui,FNKR,FNKR,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,2,0,,0,1,0,1,0,0
kit/division-5/ibpt/sst,true,generic/organization/working-group,05 working group,01: preparation,,härer.bastian,"university, hgf",kit,kit/division-5/ibpt,sst,Gruppe: Superconducting System Technology,Research Group Supraleitende Systemtechnologie,SST,SST,,,,Prof. Dr.-Ing. Steffen Grohmann,https://www.ibpt.kit.edu/RG_sst.php,https://www.ibpt.kit.edu/RG_sst.php,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,2,0,,0,0,0,2,0,0
leaps,false,generic/organization/consortium,other,01: preparation,,,consortium,,,leaps,LEAPS,LEAPS,LEAPS,LEAPS,"LEAPS (League of European Accelerator-based Photon Sources) ist eine Gemeinschaft von europäischen Synchrotron- und Freie-Elektronen-Laser-Photonenquellen. Die 2017 gegründete Organisation hat das Ziel, die Zusammenarbeit und Qualität der an Photonenquellen durchgeführten Grundlagen-, angewandten und industriellen Forschung zu fördern.","LEAPS (League of European Accelerator-based Photon Sources) is a community of European synchrotron and free-electron laser photon sources. Founded in 2017, the organisation aims to promote collaboration and quality in basic, applied and industrial research carried out at photon sources.",,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0
lens,false,generic/organization/consortium,other,01: preparation,,,consortium,,,lens,League Of Advanced European Neutron Sources,League Of Advanced European Neutron Sources,LENS,LENS,"LENS (League of Advanced European Neutron Sources) ist eine Gemeinschaft, die alle europäischen Synchrotron- und Freie-Elektronen-Laser-Photonequellen in Europa zusammenbringt. Die 2017 gegründete Organisation hat sich zum Ziel gesetzt, die Qualität und die positiven Auswirkungen der an ihren Mitgliedern durchgeführten Grundlagen-, angewandten und industriellen Forschung zu fördern und sicherzustellen.","LENS (League of Advanced European Neutron Sources) is a community that brings together all European synchrotron and free-electron laser photon sources in Europe. Founded in 2017, the organisation aims to promote and ensure the quality and positive impact of basic, applied and industrial research carried out at its members.",,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0
